onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x4,prop_5_0.05,random,stable,201,unsat,69.8462,unsat,136.7573,unsat,134.565,unsat,133.8765,unsat,134.7664,unsat,135.4311,unsat,133.4737,unsat,136.2434,unsat,135.7249,unsat,135.3998,unsat,135.134
mnist-net_256x4,prop_6_0.05,random,stable,176,sat,0.6836,sat,0.8225,sat,0.7652,sat,0.8807,sat,0.8126,sat,0.9208,sat,0.8074,sat,0.8316,sat,0.7536,sat,0.8229,sat,0.8515
mnist-net_256x4,prop_7_0.05,random,stable,225,unsat,59.7357,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_8_0.05,random,stable,214,sat,0.659,sat,0.7435,sat,0.7312,sat,0.7348,sat,0.7501,sat,0.7199,sat,0.75,sat,0.7318,sat,0.7349,sat,0.7261,sat,0.7549
mnist-net_256x4,prop_9_0.05,random,stable,215,unsat,84.2007,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_10_0.05,random,stable,224,unsat,54.7963,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_11_0.05,random,stable,217,unsat,46.3334,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_12_0.05,random,stable,227,unsat,61.011,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_13_0.05,random,stable,219,unsat,72.2672,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_14_0.05,random,stable,214,unsat,55.891,unsat,158.5078,unsat,156.6587,unsat,157.7674,unsat,156.1795,unsat,157.5347,unsat,158.665,unsat,157.3451,unsat,157.3388,unsat,157.4352,unsat,155.9101
