onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,2.158912181854248,unsat,2.8655641078948975,unsat,2.853241443634033,unsat,2.8501780033111572,unsat,2.8528807163238525,unsat,2.842280864715576,unsat,2.8901169300079346,unsat,2.8213627338409424,unsat,2.8220455646514893,unsat,2.7980711460113525,unsat,2.8107786178588867
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,2.4646129608154297,unsat,3.178612232208252,unsat,3.2136173248291016,unsat,3.177112579345703,unsat,3.190326690673828,unsat,3.146660327911377,unsat,3.1991610527038574,unsat,3.1228299140930176,unsat,3.1109790802001953,unsat,3.161506414413452,unsat,3.1368701457977295
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,0.624230146408081,sat,2.646627902984619,sat,2.6451632976531982,sat,2.6149356365203857,sat,2.629689931869507,sat,2.5907607078552246,sat,2.619199514389038,sat,2.6493570804595947,sat,2.6252243518829346,sat,2.660475730895996,sat,2.6303775310516357
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,2.3572566509246826,unsat,4.540205001831055,unsat,4.535439729690552,unsat,4.5218424797058105,unsat,4.494921684265137,unsat,4.515575885772705,unsat,4.528500556945801,unsat,4.46938681602478,unsat,4.475436449050903,unsat,4.4845521450042725,unsat,4.440185785293579
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,2.1231191158294678,unsat,4.145037889480591,unsat,4.107965707778931,unsat,4.13170862197876,unsat,4.126997232437134,unsat,4.070643901824951,unsat,4.1026771068573,unsat,4.085204124450684,unsat,4.091264486312866,unsat,4.118244886398315,unsat,4.11260724067688
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,0.552544355392456,sat,2.4982800483703613,sat,2.4667863845825195,sat,2.5244503021240234,sat,2.4638872146606445,sat,2.521050214767456,sat,2.502030849456787,sat,2.5273165702819824,sat,2.482015609741211,sat,2.4943971633911133,sat,2.4848709106445312
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,0.71256422996521,sat,6.117062568664551,sat,5.999000549316406,sat,6.0325927734375,sat,6.036747694015503,sat,6.017844915390015,sat,5.965003728866577,sat,5.944028854370117,sat,5.991093158721924,sat,6.028116464614868,sat,6.065414667129517
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,2.653519630432129,unsat,7.7013936042785645,unsat,7.818151235580444,unsat,7.672205924987793,unsat,7.7747557163238525,unsat,7.681028366088867,unsat,7.687978744506836,unsat,7.593277931213379,unsat,7.579474925994873,unsat,7.616641998291016,unsat,7.57133936882019
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,3.1656181812286377,unsat,9.125215768814087,unsat,9.067935466766357,unsat,8.925746440887451,unsat,8.953859090805054,unsat,8.921208620071411,unsat,8.885798931121826,unsat,8.596722841262817,unsat,8.610360383987427,unsat,8.713887214660645,unsat,8.591997861862183
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,2.6584391593933105,unsat,7.748076438903809,unsat,7.6402037143707275,unsat,7.709392786026001,unsat,7.759934663772583,unsat,7.888086318969727,unsat,7.689891338348389,unsat,7.530587673187256,unsat,7.4984495639801025,unsat,7.573584079742432,unsat,7.541322469711304
