onnx,vnnlib,result, v1, t1, v2, t2, v3, t3
ACASXU_run2a_2_3_batch_2000_converted,prop_2,sat,abcrown,1.966187318166097,marabou,0.25233333333333335,neuralsat,1.6913
ACASXU_run2a_4_3_batch_2000_converted,prop_2,sat,abcrown,1.978131612141927,marabou,1.9486666666666668,neuralsat,1.6852333333333334
ACASXU_run2a_5_6_batch_2000_converted,prop_1,unsat,abcrown,4.083180586496989,marabou,101.52999999999999,neuralsat,15.054
ACASXU_run2a_3_4_batch_2000_converted,prop_1,unsat,abcrown,3.840573231379191,marabou,3.719,neuralsat,7.025666666666666
ACASXU_run2a_4_4_batch_2000_converted,prop_2,sat,abcrown,1.9653959274291992,marabou,1.1663333333333332,neuralsat,1.6956
ACASXU_run2a_1_7_batch_2000_converted,prop_3,sat,abcrown,1.9710814158121746,marabou,0.17533333333333334,neuralsat,1.6704
ACASXU_run2a_5_5_batch_2000_converted,prop_3,unsat,abcrown,3.2215166886647544,marabou,0.2813333333333334,neuralsat,5.2153
ACASXU_run2a_5_5_batch_2000_converted,prop_4,unsat,abcrown,3.266712029774984,marabou,0.30833333333333335,neuralsat,5.239566666666667
ACASXU_run2a_1_8_batch_2000_converted,prop_3,sat,abcrown,1.9614930947621663,marabou,0.17566666666666664,neuralsat,1.6600666666666666
ACASXU_run2a_5_1_batch_2000_converted,prop_3,unsat,abcrown,3.8954976399739585,marabou,32.60966666666667,neuralsat,6.320466666666667
ACASXU_run2a_1_3_batch_2000_converted,prop_4,unsat,abcrown,3.6103732585906982,marabou,9.615,neuralsat,5.3310666666666675
ACASXU_run2a_2_6_batch_2000_converted,prop_1,unsat,abcrown,3.929186979929606,marabou,31.098,neuralsat,10.094133333333334
ACASXU_run2a_2_1_batch_2000_converted,prop_3,unsat,abcrown,3.7771214644114175,marabou,7.202000000000001,neuralsat,8.2845
ACASXU_run2a_3_5_batch_2000_converted,prop_2,sat,abcrown,1.9786134560902913,marabou,0.3316666666666667,neuralsat,1.6744666666666665
ACASXU_run2a_4_7_batch_2000_converted,prop_3,unsat,abcrown,3.2292741934458413,marabou,0.38933333333333336,neuralsat,5.226633333333333
ACASXU_run2a_1_8_batch_2000_converted,prop_4,sat,abcrown,1.9753127098083496,marabou,0.18299999999999997,neuralsat,1.6671666666666667
ACASXU_run2a_4_1_batch_2000_converted,prop_3,unsat,abcrown,3.6309894720713296,marabou,11.363999999999999,neuralsat,6.7015
ACASXU_run2a_5_1_batch_2000_converted,prop_4,unsat,abcrown,3.207106590270996,marabou,0.2826666666666667,neuralsat,5.292533333333334
ACASXU_run2a_1_1_batch_2000_converted,prop_1,unsat,abcrown,3.990248441696167,marabou,2.2103333333333333,neuralsat,5.452633333333334
ACASXU_run2a_2_1_batch_2000_converted,prop_4,unsat,abcrown,3.1998759110768638,marabou,0.653,neuralsat,5.290833333333333
ACASXU_run2a_4_1_batch_2000_converted,prop_4,unsat,abcrown,2.885831038157145,marabou,0.06633333333333334,neuralsat,5.231566666666667
ACASXU_run2a_2_5_batch_2000_converted,prop_4,unsat,abcrown,3.2033031781514487,marabou,0.27299999999999996,neuralsat,5.1684
ACASXU_run2a_4_6_batch_2000_converted,prop_3,unsat,abcrown,3.2215400536855063,marabou,0.41733333333333333,neuralsat,6.192899999999999
ACASXU_run2a_4_3_batch_2000_converted,prop_4,unsat,abcrown,3.2328055699666343,marabou,0.4136666666666666,neuralsat,5.143
ACASXU_run2a_2_6_batch_2000_converted,prop_2,sat,abcrown,1.978497823079427,marabou,0.41033333333333327,neuralsat,1.6859
ACASXU_run2a_4_6_batch_2000_converted,prop_4,unsat,abcrown,3.2337889671325684,marabou,0.22766666666666668,neuralsat,5.166033333333334
ACASXU_run2a_4_4_batch_2000_converted,prop_4,unsat,abcrown,3.230212847391764,marabou,0.30866666666666664,neuralsat,5.154433333333333
ACASXU_run2a_5_7_batch_2000_converted,prop_2,sat,abcrown,1.9642225901285808,marabou,0.35666666666666663,neuralsat,1.67
ACASXU_run2a_1_1_batch_2000_converted,prop_2,unsat,abcrown,5.104215780893962,marabou,31.141333333333336,neuralsat,5.640833333333333
ACASXU_run2a_1_6_batch_2000_converted,prop_2,sat,abcrown,1.9686755339304607,marabou,116.30733333333335,neuralsat,3.240866666666667
ACASXU_run2a_5_5_batch_2000_converted,prop_1,unsat,abcrown,3.920236508051554,marabou,15.677,neuralsat,9.9975
ACASXU_run2a_2_4_batch_2000_converted,prop_3,unsat,abcrown,2.882960478464762,marabou,0.067,neuralsat,5.124066666666667
ACASXU_run2a_1_3_batch_2000_converted,prop_1,unsat,abcrown,3.775998910268148,marabou,5.558333333333334,neuralsat,9.916466666666667
ACASXU_run2a_2_2_batch_2000_converted,prop_3,unsat,abcrown,3.6626815795898438,marabou,18.081,neuralsat,5.3732
ACASXU_run2a_3_3_batch_2000_converted,prop_1,unsat,abcrown,3.833260456720988,marabou,6.100666666666666,neuralsat,5.645666666666667
ACASXU_run2a_3_5_batch_2000_converted,prop_4,unsat,abcrown,3.24653697013855,marabou,0.3973333333333333,neuralsat,5.2321
ACASXU_run2a_1_8_batch_2000_converted,prop_1,unsat,abcrown,3.6939388116200766,marabou,1.4013333333333333,neuralsat,5.2066
ACASXU_run2a_2_4_batch_2000_converted,prop_4,unsat,abcrown,3.2452430725097656,marabou,0.22833333333333336,neuralsat,5.1860333333333335
ACASXU_run2a_5_1_batch_2000_converted,prop_1,unsat,abcrown,3.8343207836151123,marabou,4.205666666666667,neuralsat,6.5020999999999995
ACASXU_run2a_5_2_batch_2000_converted,prop_1,unsat,abcrown,3.8551735083262124,marabou,5.219,neuralsat,5.942933333333333
ACASXU_run2a_2_5_batch_2000_converted,prop_1,unsat,abcrown,4.098582983016968,marabou,38.71633333333333,neuralsat,7.7060666666666675
ACASXU_run2a_1_7_batch_2000_converted,prop_2,unsat,abcrown,4.084772666295369,marabou,47.76266666666667,neuralsat,8.791733333333333
ACASXU_run2a_2_3_batch_2000_converted,prop_1,unsat,abcrown,3.8148203690846763,marabou,8.463,neuralsat,9.787233333333333
ACASXU_run2a_4_3_batch_2000_converted,prop_1,unsat,abcrown,3.84732723236084,marabou,5.4656666666666665,neuralsat,5.797833333333333
ACASXU_run2a_2_9_batch_2000_converted,prop_3,unsat,abcrown,2.8984623750050864,marabou,0.067,neuralsat,5.129266666666667
ACASXU_run2a_3_6_batch_2000_converted,prop_3,unsat,abcrown,3.275848865509033,marabou,0.3096666666666667,neuralsat,6.151533333333333
ACASXU_run2a_4_4_batch_2000_converted,prop_1,unsat,abcrown,3.8497493267059326,marabou,4.464333333333333,neuralsat,7.819500000000001
ACASXU_run2a_3_6_batch_2000_converted,prop_4,unsat,abcrown,3.4366758664449057,marabou,0.2806666666666667,neuralsat,5.3021
ACASXU_run2a_2_1_batch_2000_converted,prop_2,sat,abcrown,1.9610012372334797,marabou,1.4926666666666666,neuralsat,1.6800666666666668
ACASXU_run2a_4_8_batch_2000_converted,prop_3,unsat,abcrown,2.886909008026123,marabou,0.06633333333333334,neuralsat,5.346666666666667
ACASXU_run2a_4_7_batch_2000_converted,prop_2,sat,abcrown,1.9694043795267742,marabou,6.276,neuralsat,1.6663333333333332
ACASXU_run2a_4_1_batch_2000_converted,prop_2,sat,abcrown,1.9620367685953777,marabou,6.234333333333333,neuralsat,1.6634333333333335
ACASXU_run2a_3_5_batch_2000_converted,prop_1,unsat,abcrown,3.9391047159830728,marabou,19.964,neuralsat,6.650133333333334
ACASXU_run2a_1_5_batch_2000_converted,prop_3,unsat,abcrown,3.1187886397043862,marabou,0.7576666666666667,neuralsat,5.1238
